id,cluster
Sub-AA_Base-B_Hyd-F_LigA-B,1
Sub-G_CA-A_Hyd-F_LigS-A,1
Sub-X_Base-E_Hyd-C_LigA-B,1
Sub-I_CA-A_Hyd-E_LigS-A,1
Sub-AA_CA-B_Hyd-C_LigS-C,1
Sub-W_CA-E_Hyd-D_LigS-A,1
Sub-AA_Base-B_Hyd-A_LigS-B,1
Sub-U_CA-A_Hyd-F_LigS-D,1
Sub-I_Base-A_Hyd-E_LigA-E,1
Sub-X_CA-A_Hyd-E_LigS-A,1
Sub-V_CA-A_Hyd-F_LigA-B,1
Sub-X_Base-A_Hyd-F_LigA-D,1
Sub-AC_CA-B_Hyd-A_LigA-F,1
Sub-I_Base-B_Hyd-D_LigA-F,1
Sub-AB_CA-B_Hyd-D_LigS-E,1
Sub-X_CA-E_Hyd-C_LigS-D,1
Sub-AA_CA-B_Hyd-B_LigS-C,1
Sub-J_CA-A_Hyd-A_LigA-D,1
Sub-AA_CA-A_Hyd-D_LigA-E,1
Sub-AC_Base-E_Hyd-A_LigA-E,1
Sub-Z_Base-A_Hyd-D_LigS-D,1
Sub-AB_Base-A_Hyd-F_LigA-C,1
Sub-I_Base-A_Hyd-F_LigA-B,1
Sub-V_CA-E_Hyd-D_LigA-E,1
Sub-V_CA-B_Hyd-D_LigA-C,1
Sub-W_CA-B_Hyd-E_LigA-F,1
Sub-G_CA-E_Hyd-D_LigS-D,1
Sub-I_CA-B_Hyd-C_LigS-C,1
Sub-AC_Base-A_Hyd-E_LigS-B,1
Sub-I_Base-B_Hyd-E_LigA-B,1
Sub-I_Base-E_Hyd-C_LigA-D,1
